name	ment	party
강효상	그러니까 신문, 언론 보고 아셨지요?	자유한국
강효상	여기 보시면 새 정부 들어서…… 여기 중앙정부의 경찰 아닙니까, 그렇지요?	자유한국
강효상	기왕 여기까지 왔는데 10시까지 합시다.	자유한국
강효상	자유한국당 달서병 당협위원장 강효상입니다. 저는 우리 헌정사의 가장 치욕이자 오점이 제왕적 대통령제에서 촉발된 정치보복의 악순환이라고 생각합니다. 제 생각에 대해서 처장님은 어떻게 생각하십니까?	자유한국
강효상	그러면 그것은 잘했다고 보십니까? 어떻게 평가하세요?	자유한국
강효상	제 생각이 일리는 있다고 생각하십니까?	자유한국
강효상	3분만 해, 3분만. 3분 2명.	자유한국
강효상	이명박 전 대통령 질문을 조금 더 하겠습니다. 이제 실질심사를 앞두고 있는 전직 대통령이지요. 처장님께서는 개인적으로 이명박 대통령을 어떻게 평가하십니까?	자유한국
강효상	현직 국회의장 하신 적 없지요?	자유한국
강효상	어찌됐거나 대통령께서 구체적인 사건에 대해서 수사 지시를 하신 거예요, 이렇게 하라고. 그런데 그것에 대해서 따랐다 안 따랐다 하는 것은 그것은 총장님 생각이고 대통령께서는 여기에 지시를 하신 것입니다. 그리고 이 지시에 대해서 저는 법률가로서 총장님께 이게 지시냐 아니냐를 물은 것입니다. 저는 지시라고 생각하겠습니다. 답변하시기 곤란하시니까 답변은 안 하셔도 되는데 저는 제 양심과 법률적 지식에서 이것은 구체적인 사건 지시다 이렇게 생각합니다. 또 하나는 강원랜드 수사 의혹에 일부 보도가 됐는데 이게 전직 검찰총장이 관여된 의혹이 있는 것 아니냐 이런 생각이 있는데, 전직 검찰총장이 검찰 간부에게 전화를 했다 압력을 넣었다 이런 보도가 있었지요. 기억나십니까?	자유한국
강효상	그리고 검사가 현직 검찰총장 휴대폰하고 사무실 압수수색한 적 있습니까? 없지요? 금도라는 게 있습니다. 법사위원장을 압수수색했다는 것은요 검찰로 보면 서울 검사장을 압수수색한 것하고 똑같은 것입니다. 서로 권위를 지켜줘야 되고요. 만약에 권 위원장이 국기문란행위를 했다든지 아주 어전트한, 정말 이것은 빨리 압수수색이나 휴대폰을 뺏지 않으면 안 되는 상황이면 그렇게 해야지요. 그런데 파렴치범도 아니고 국기문란행위도 아니고 채용비리 아닙니까? 그러면 협조를 구할 수도 있고 부드러운 절차를 거쳐서 할 수 있는데, 이것은 국회의 권위를 굉장히 짓밟는 이런 사건으로 기록이 될 것입니다. 총장님 시대에 일어났다는 게 결코 이게 아름다운 일이 아닙니다. 검찰이 왜 이런 짓을 했느냐? 저는 청와대에 보여주기를 위한 수사라고 봅니다, ‘우리가 이렇게까지 했다’. 대통령이 지시를 하니까 ‘우리가 이렇게까지 했습니다. 청와대에 대해서 우리가 충성을 이렇게 하고 있습니다’라는 보여주기식밖에 아닙니다. 검찰에서 혹시 대통령 지시 이후에 민정수석실에서 여기에 대한 채근이나 압력 혹은 부탁 이런 전화 받은 적이 있습니까?	자유한국
강효상	저는 이명박 대통령을 이렇게 평가합니다. 추진력은 있고 경제에 밝은 분이지만 상당히 공인의식이 약했고 굉장히 아쉬움이 많았던 대통령이다, 이렇게 평가를 합니다. 외환 금융위기 이런 걸 잘 극복을 하고 또 경제를 상당히 안정적으로 운용을 했습니다마는 여러 가지, 자원외교라 하지만 자원사업 이것도 사실은 저는 꼭 정부가 해야 될 일인지 의문을 가졌고요, 4대강 사업도 비슷한 생각을 해 왔습니다. 포스코 문제는 저도 굉장히 문제가 많았던 그런 일이었다, 몇조가 되는 사내유보금이 이명박 정권 말기에는 거의 남아 있지 않은 상황이었습니다. 정권이 끝난 다음에는 많은 의문과 실책 또 여러 가지 문제점이 남습니다. 그런 것 우리가 조사하고 뒤에 밝히고 또 교훈으로 삼아야지요. 교훈으로 삼아야 됩니다. 그리고 지금 최근에 문제되고 있는 정치보복 이 문제도 저는 이명박 대통령이 정치보복을 했다고 생각합니다. 노무현 전 대통령에 대한 세무조사와 이은 검찰 수사는 상당히 정치보복성 성격이 짙었다 저는 이렇게 판단을 합니다. 다만 제가 말씀을 드리는 것은 전직 대통령에 대한 구속이 계속 이렇게…… 저도 당연히 누구든지 법 외 성역이 있어서는 안 된다고 봅니다. 그러나 구속하고 안 하고 그것은 법관의 최종적인 양심과 법률과 재량에 따라서 결정을 하는 겁니다. 그것을 하고 안 하고가 굉장히 역사적인 의미가 있는 겁니다. 그런데 대통령에 대한 구속이 계속 이어지면 저는 앞으로도 계속 이런 전직 대통령에 대한 정치보복성 구속이 반복될 수 있다는 거지요. 앞으로 정권이 바뀌면 또 이런 일이 벌어지지 않으리라고 누가 장담을 하겠습니까? 저는 차제에 이 고리를 끊어야 된다는 거지요. 미국은 닉슨이 위증도 하고 사법 방해하는 중죄를 저질렀지만 국민들이 용서를 했습니다. 우리나라하고 미국이 법률 문화에 있어서 어느 쪽이 더 낫다고…… 우리가 그런 것을 한번 되새겨 봐야 될 때라고 생각합니다. ‘눈에는 눈, 이에는 이’라는 법언이 있지요. 이것은 지금으로부터 3700년 전에 함무라비 법전에 나오는 얘기입니다. 우리가 전전 정권에서 정치보복을 했다고 해서 좀 더 나아져야 될 이 정부조차 또 정치보복을 한다면, 이런 악순환을 저는 이제 끊어야 된다는 생각이지요. 전직 대통령은 그래도 우리 국격과 나라의 여러 가지 체통이 걸린 문제이기 때문에 법원이 정말 파렴치범 다루듯이 해서는 안 된다는 말씀을 제가 드리는 겁니다. 노무현 전 대통령에 대한 것도 저는 그 당시 임채진 전 검찰총장이 빨리 불구속 결정을 내렸으면 우리 헌정사의 그런 불행한 사태는 막을 수 있었을 거라고 생각이 됩니다. 그런 각 분야의 주요 결정을 하실 수 있는 권한 가진 분들이 서로 책임을 미루고 방기하고 주어진 권한을 행사하지 않고 회피하고 이렇게 해 왔기 때문에 계속 정치보복이 악순환이 되는 것 아니냐라는 안타까움을 제가 말씀드리는 겁니다. 김명수 대법원장께서 최근에 어떤 한 자리에서 청와대에 대한 관계를 법관들이 질문하자 ‘내가 청와대로부터 사법부에 관한 한, 법원에 관한 전권을 위임받았다’ 이런 취지로 말씀을 하셨다고 제가 들었습니다. 그런데 이 말씀이 사실이라면 굉장히 저는 헌법의식이 부족한 것 아니냐라는 생각을 합니다. 사법부의 권한은 천부적인 권한이고 국민으로부터 나오는 겁니다. 청와대로부터 위임받을 그런 성격의 권한이 아닙니다. 청와대에 대한 독립 때문에 이런 말씀을 하셨는지는 모르겠지만 청와대나 세종로 이쪽은 대법원장께서 쳐다도 보지 않으셔야 돼요. 그런데 얼마 전에 정형식 부장판사에 대한 파면특별감사를 촉구하는 청와대 국민청원에 대해서 청와대가 국민의 뜻을 경청해야 된다고 답변을 했어요. 이것은 사법부에 대한 침해이고 사법부를 흔드는 아주 잘못된 코멘트입니다. 이런데도 사법부에서는, 대법원장께서는 아무런 말씀도 안 하고 계십니다.  이런 분을 어떻게 믿고 사법부 독립에 대한 의지를 우리가 지금 믿고 따를 수 있겠습니까? 마무리하겠습니다.	자유한국
강효상	사후에 보고가 있었습니까, 없었습니까, 이 경우에는?	자유한국
강효상	그래도 일국의 법사위원장 개인 휴대폰과 사무실을요 이렇게 쉽게, 그리고 이게 이미 여러 번 언론 보도됐지만 벌써 세 번째 수사인데 이렇게…… 아직까지 뭐 아무것도 나오는 것이 없지 않습니까. 이것 망신 주기 아닙니까? 정권의 야당 탄압, 망신 주기 수사에 정말 귀한 판사들이 영혼을 파는 거예요, 영혼을. 이런 식으로 어떻게 법원이 이렇게 고민도 없이 영장 발부를 남발합니까? 이런 것은 법원에서 판사님들이 정말 심각하게 고민하시고 결정하셔야 됩니다. 고민 없는 판사, 이것은 정말 나라를 망치는 거예요. 공직에 있을 필요가 있습니까, 예? 월급쟁이 판사가 있을 필요가 있냐고요. 국민 세금이 아깝지 않습니까? 법원 개혁 하신다고 지금 규칙을 바꿔서 대법관 추천을 기계적으로 하겠다, 이것 눈 가리고 아웅 하는 겁니다. 근본적으로 아니, 헌법에 실질적으로 추천할 수 있으면 헌법에 따라서 해야지요. 권한과 책임을 같이 져야지요. 왜 또 규칙을 슬그머니 고쳐 가지고 이렇게 눈 가리고 아웅 하십니까? 그런다고 대법원장이 관여 안 했다고 누가 믿겠습니까, 그거를? 헌법을 고쳐야 돼요. 대법원장이 내려놓아야 됩니다, 제왕적인 대법원장 자리에서. 호선제로 가든가, 대법원이 스스로 개헌안을 제안하세요. 법관 인사도 법원행정처에서 하는 것 이제 손을 떼셔야 됩니다. 이런 근본적인 개혁안을 내놓으셔야지 지금 이런 식으로 규칙 고쳐서 하시는 것은 논리에도 맞지 않고 현 헌법에도 맞지 않고 그리고 새로운 개혁 방향도 아닙니다. 그래서 제발 이제 법원도 바뀔 때가 됐다, 국민적인 그런 요구가 있으면 거기에 좀 부응하는, 기득권만 지키겠다는 그런 생각보다도 어떻게 이것을 제도적으로 바꿀 것이냐 하는 데 대해서 깊이 고민을 해 주시고요. 저도 언론인 출신이지만 국민들에게 3대 불신 직종을 얘기하면 1, 2위가 판검사고 그다음에 3위가 언론인입니다. 이런 따가운 국민들의 시선을 분명히 인식해 주셨으면 좋겠습니다. 우리법연구회가 지금 자꾸 문제가 되는데요. 처장님, 이 우리법연구회에 대한 좀…… 대법원장님께 근본적인 건의를 드려야 됩니다. 지금 문제되고 있는 여러 분들 중에 이렇게 감싸는 분들은 대부분 보면, 이번 인사에 좋은 영전하고 또 비호를 받는 분들이 대부분 우리법연구회 분들 아닙니까. 그러니까 국민들의 지탄을 받는 겁니다. 이용훈 대법원장이 전에 말씀하셨잖아요, ‘이런 조직은 우리 법원에 있어서는 안 된다’고 말씀하신 것 기억나시지요?	자유한국
강효상	예, 총장님께서 그것 한번 확인해 주시고요. 저희한테 한번 말씀을 해 주십시오, 그런 일이 있는지. 이것은 보통 일이 아닙니다. 공무원들이 몇백만 원 먹고 감옥 가는데 지금 제가 들은 금액을, 수임료를 들었는데 한 달에 어마……	자유한국
강효상	이따가 제가 답변시간을 드리겠습니다. 이게 법 이전에 우리나라, 그러니까 사회에는 금도라는 게 있고 상식이 있습니다. 과거에 명동성당 이런 데 공권력이 못 들어갔지 않습니까? 언론사에 들어가는 것도 굉장히 조심스러워야 됩니다. 이게 법률 이전에, 물론 죄가 있으면 처벌받아야 되겠지요. 그러나 각 분야 고유의, 국회의 어떤 입법권의 존중 문제 또…… 대법원장 사무실 수색하신 적 없지요? 검찰이 대법원장 압수수색한 기억이 있습니까? 없지요?	자유한국
강효상	알 수 없다? 알겠습니다. 그것은 제가 언론에 한번 물어보겠습니다. 지난번의 자유한국당의 청계광장 집회도 제가 우선 지역에서 오시겠다는 분들 숫자 계산을 하고 지역을 이렇게 하고, 저희 당은 15만으로 추산을 했습니다마는 경찰이 1만 명이라든지 7000명 이렇게 언론에 난 것 보니 저는 경악을 금할 수가 없습니다.	자유한국
강효상	자유한국당 대구 달서병 당협위원장 강효상 위원입니다. 대한변협이라는 협회와 대한변협회장이라는 무게감은 우리나라 헌정 역사를 보면 굉장히 무거웠습니다. 그런데 지금은 그렇지가 않은 것 같아요. 별로 무게감도 없고 변협의 목소리가 국민들의 존경이나 사랑을 받는 것하고는 거리가 멀다 지금 이런 평가들이 상당히 많은데 우리 회장님께서 특별히 유념을 해 주시기를 바랍니다. 과거 같으면 정말 변협회장의 한 말씀이 정말 추상 같은, 정말 국가의 방향을 좌우하는 무게감을 지녔는데 지금은 한 말씀 하시는 게 정부하고 비슷한 목소리를 낸다든지 혹은 변호사들의 이해관계 이런 것만을 반영하는 것 같아서 상당히 안타깝습니다. 변협의 위상 제고에 특별히 신경을 써 주시기 바랍니다.	자유한국
강효상	그런 사실이 없다 이거지요?	자유한국
강효상	저는 변협은 단순히 변호사들의 이해를 대변하는 협회가 아니고 법에도 규정이 되어 있지만 정말 특별한 사명이 있다고 봅니다. 정의 구현 또 국민의 인권 보호 또 정치적 중립 또 법조계의 자정 노력 이런 여러 가지 중요한 사명들을 갖고 있는 단체다 저는 이렇게 생각을 합니다. 그래서 공수처처럼 정부가 지금 추진하고 있는, 정부가 굉장히 정략적이고 상당히 정치적 의도가 짙은 이런 주장에 대해서 변협이 경거망동하는 식으로 거기에 언급을 하는 자체가 변협의 정치적 중립과 위상에 큰 훼손을 가하는, 변협회장님의 자질과 시국관을 상당히 의심케 하는 발표고 발언이다 저는 이렇게 생각을 합니다. 유념해 주시기 바랍니다.	자유한국
강효상	예, 알겠습니다. 이따 다시 추가질문하겠습니다.	자유한국
강효상	하여튼 사후든 사전이든 대통령이 이렇게 말씀하신 것은 사실이지요?	자유한국
강효상	그래요?	자유한국
강효상	왜 여기에 들어가시게 됐어요?	자유한국
강효상	총장님, 늦게까지 고생이 많으십니다. 총장 되시고 청와대에 지금까지 몇 번 다녀오셨습니까?	자유한국
강효상	그런데 순수하지가 않은 것 같아요. 지금 북핵이 폐기도 안 됐는데 문재인 대통령 노벨평화상을 추진한다는 게 어불성설 아닙니까?	자유한국
강효상	여기 수뇌부를 보면 지역을 골고루 안배하는 것이 가장 국민 통합에도 맞고 여러 가지 경찰의 중립성 취지에도 부합한다고 생각하는데, 지금 여기 앉아 계신 분만 해도 호남 출신이 네 분입니다. 그리고 TK가 한 분도 없어요. 이미 문재인 정부 들어서…… 보실 필요 없습니다, 여기 자료에 다 나와 있으니까. 아니, 본인이 직접 인사를 하셔 놓고 처음 한 것처럼 그렇게 돌아보시니까 제가 참 황당한데요. ‘문재인 정부 들어서 경찰 수뇌부 승진 인사 TK 한 명도 없다. TK 출신 치안정감은 현직에 한 명도 없게 됐다. 치안감 승진에서도 TK는 한 명도 없다.’ 지난 박근혜정부 때 청장님께서 이런 식으로 인사 안 하셨지요? 그때 박근혜정부 때하고 현 정부, 새 정부 들어서 간부 인사 하신 그것을 출신 지역별로 저희 의원실에 자료를 좀 제출해 주시기 바랍니다.	자유한국
강효상	잘못된 거지요.	자유한국
강효상	아까 제가 질의 과정에서 의문이 총장님께서 왜 검찰 내부 지침에도 불구하고 강원랜드 수사 보고도 안 받으셨나 제가 곰곰이 답을 생각해 봤는데, 두 가지인 것 같아요. 하나는 청와대 대통령 지시였기 때문에. 아까 감찰은 수사가 아니고 구체적 사건 지시가 뭐냐고 저한테 되물으셨는데 이 강원랜드 외압수사 진상규명 지시는 구체적 사건 지시 맞지요? 맞지요? 맞습니까, 아닙니까?	자유한국
강효상	분명히 반대하시고 거기 빠져 나오시기 바랍니다. 회원들의 동의도 받지 않고 이렇게 일방적으로 정치적인 목소리를 내는 곳에 대한변협이 엄청난 레퓨테이션을 빌려줄 이유가 전혀 없다고 저는 생각을 합니다.	자유한국
강효상	처장님, 처장님께서는 댁이나 사무실 압수수색당하신 적 있습니까?	자유한국
강효상	잘하셨습니다. 제가 과거에 변호사시험법 특별위원회 위원으로 로스쿨 설립에 관여를 한 적이 있습니다. 그때는 미국식의 새로운 법률서비스로 질을 향상시키자 이런 목표로 시작이 됐는데 이게 완전히 귤화위지가 됐어요. 완전히 탱자가 되어 가지고 지금 말씀하신 대로 변호사들만 양산이 되고 관리가 안 되고 있습니다. 특히 지방대 로스쿨이 상황이 심각하지 않습니까? 대한변협에서 판검사, 변호사 평가만 할 게 아니라 로스쿨 평가도 하셔서 잘하는 지방 로스쿨은 중점적으로 지원을 하도록 해야 되고 어려운 로스쿨은 어떻게 미래를 꾸려 갈 건지에 대한 근본적인 대책을 우리 변협에서 제시하셔야 될 것 같습니다. 게다가 정원 문제도 지금 이 시점에서 다시 한번 검토를 해야 됩니다. 지금 5년인가 유예하는 것 때문에 계속 휴학들을 하고요 이게 완전히 실업자들 양산하고 있습니다. 지금 로스쿨 들어가도 변호사시험에 합격하지 않으면 정말 국가적인 인재가 낭비되는 이런 국가적인 문제까지 초래될 수 있습니다. 여기에 대한 근본적인 대책을 변협이 마련하시고요. 그리고 저는 이렇게 된 마당에 일반 법과대학에서 바로 변호사가 될 수 있는 사다리 사법시험의 존치 문제도, 물론 헌법재판소에서 위헌 판정은 났습니다마는, 다시 한번 우리 국민들과 우리 법조인들의 의견을 모아서 법률로 한 번 더 제안을 하는 것이 바람직하다고 저는 생각하는데 회장님 생각은 어떠하십니까?	자유한국
강효상	알겠습니다. 아시면서 대답 안 하시는 것 같은데요. 아까 말씀드렸지만 제가 정리하는 차원에서 질문을 드리면 공수처 검사가 비리를 저지르고 민정수석하고, 과거 여러 사건들이 드러났지만 민정수석하고 무슨 지시를 해서 공수처가 야당 탄압의 도구가 되고 전위대가 되어서 앞잡이가 되어서 이렇게 했을 때 국민들은 또 그러면 공공수사처를 만들자 이런 얘기가 나옵니다. 그리고 공수처 비리를 검찰은 참 수사하기 어려운 게 그렇게 되면 이미 검찰은 수사기관으로서의 맛이 가는 것입니다. 이 정치권, 국민들로부터 이미 버림을 받았습니다. 그런데 어떻게 그런 고위공직자 수사를 하겠습니까? 그러니까 검찰의 신뢰가 땅에 떨어져서 공수처를 만들었는데 그 괴물 공수처 그 사람들이 전횡을 하고 비리를 저지르는데 감히 어떻게 검찰이 거기에 대고, 얻다 대고 정말 수사를 하겠습니까? 그래서 저는 검찰이 지금 살길은 하나라고 봅니다. 경찰에 대해서 이렇게 완고하게 양보를 안 하실 게 아니라 일부라도 양보를 하셔야 돼요. 최소한 경찰에 대해서 검찰에 대한 수사만이라도, 검사와 검찰공무원의 수사에 관한 경찰의 수사권은 주셔야 됩니다. 이래야 국민들로부터 지지를 받고 전체적인 일반적인 수사지휘권이나 영장청구권 이런 것도 방어를 할 수 있지 전부 다 틀어쥐고 우리 검사는 수사 안 받고 견제 안 받겠다 이래 가지고는 국민들을 납득시킬 수 없습니다. 그래서 최소한의 양보라도 하셔야 되는데, 오늘 아침에 신문에도 났습니다마는……  이 5대 지검 중심 특별수사 개편, 뒤의 간부님 중에 누가 아이디어 이렇게 내셨어요? 한번 손 들어 보십시오. 누구 아이디어십니까? 총장님, 누가 이렇게 아이디어를 내셨어요, 참한 아이디어를?	자유한국
강효상	알겠습니다. 대책을 마련해 주시고요.	자유한국
강효상	저는 정말 깜짝 놀란 것이 우리나라 압수수색영장 발부율이 99%입니다. 이게 무슨 자동판매기입니까? 저는 북한 법원인 줄 알았어요. 어떻게 생각하십니까?	자유한국
강효상	전관예우 이게 정말 심각한 문제 아닙니까? 지금도 근절되지 않고, 특정 변호사가 수십억을 벌었네 100억을 벌었네 하는 것 아닙니까? 그 실태조사 하시고요. 전화 변론, 수임계 안 내는 전관예우들의 횡포 이것은 사회 정의에 관한 문제입니다. 이게 법조 불신의 아주 큰 원인이고요. 이것 실태조사 하셔서 발표하시고 최근의 문제점을 저희 쪽에 서면으로 제출해 주시면 감사하겠습니다.	자유한국
강효상	예, 99%고요.	자유한국
강효상	전관예우 문제에 대한 의지를 말씀해 주시면 감사하겠습니다.	자유한국
강효상	지금 총장님께서도, 저는 MB 때나 박근혜 정권 때 TK 인사가 지나치게 편중됐다 그렇게 보는 사람입니다. 좋은 자리에 너무 많이 갔어요. 그런데 지금 정권이 바뀌었는데 소위 말해서 또 다른 특정지역 분들이 너무 많이 와 계세요. 지금 뒤에 계신 분들 중에도 특정지역 분들이 네 분이고 전 정권 지역이랑 TK 분은 한 분 계세요. 과거 김대중 때도 검찰총장을 TK로 임명했습니다. 노무현 때도 있었고요. 제발, 검찰 인사는 굉장히 중요합니다. 왜냐하면 검사가 시험만 되면 영감이라고 그러고 지역의 유지가 되지 않습니까. 이게 하나의 공무원 인사의 바로미터가 되고요. 정말 지역 주민들의 프라이드와 또 중요한 이유는 국민 통합과 검찰수사의 중립성, 모든 국민을 상대로 하기 때문에…… 518 때 온갖 루머가 난 게 이게 지역 문제가 아닙니까?	자유한국
강효상	총장님, 아까 제 질의 가운데서 국회 법사위원장에 대한 휴대폰사무실 압수수색 이것을 보고를 안 받으셨다고 하는데, 모르셨다고 하는데 그게 상식적으로 제가 이해가 안 갑니다. 이런 중요한 사람…… 그 사람이 특별히 잘나서가 아니라 아까도 말씀드렸지만 우리 사회에는 금도가 있는 것 아니겠습니까? 예를 들면 언론사 사주를 압수수색한다든지 종교 지도자를 압수수색한다든지 국회의장을 한다든지, 법사위원장을 한다든지…… 저희 일개 국회의원까지는 보고 안 받으셔도 되는데 그래도 우리가 권위를 인정해야 될 법사위원장이나 국회의장이나 우리 사개특위 정성호 위원장님 이런 분은 그래도 보고는 받으셔야 되는 것 아닙니까?	자유한국
강효상	그러니까 검찰이 중립을 지키려면 지역인사도 탕평하는 인사를 해야 된다, 총장님께서도 지난 TK 정권 때 살아남으셔 가지고 지금 오늘날 총장 된 것 아닙니까? 나중에 정권 바뀌었을 때 쓸 수 있는 인재라도 남겨 놔야 될 것 아닙니까?	자유한국
강효상	한 번 더 이런 코드 맞추기 식의 인사 하시면 경찰의 중립성이 심각하게 의심받고 경찰이 원하는 수사권 확보라든지 이런 것에 대해서 국민적 동의를 받지 못한다는 점을 분명히 말씀드립니다.	자유한국
강효상	그러니까 인사 하실 때 탕평을 하고 야당 지역의 출신이라도 제발 불이익 주지 마시라는 말씀을 제가 마지막으로 드립니다.	자유한국
강효상	총장님, 그것은 외압이 아니지요. 외압이 아니라, 수사는 결과만 중요한 것이 아니라 과정도 중요하고 그것을 통제해야 될 사람이 바로 검찰총장입니다. 총장님께서 지금 책임을 방기하고 계시는 거예요. 나는 모르겠다 그러시려면 총장, 뭐하러 거기 계십니까? 내부를 틀어쥐고 불법을 저지르느냐 혹은 사회 상규를 벗어나는 수사를 하느냐 그런 것을 보고를 받고 챙겨야 되실 분이, 바로 검찰의 제일 선배이시자 제일 어른인 검찰총장이 안 하면 그것을 누가 합니까? 과거에는 이런 내부 검찰지침이 있었는데 지금도 그런 지침이 있습니까?	자유한국
강효상	답변 좀 부탁합니다.	자유한국
강효상	그것은 무슨 간섭하라는 것이 아니에요. 그래도 알고는 계셔야 되는 것은 아닙니까, 처장님이? 국회의장, 청와대 영장 발부할 때도 그러면 모르십니까?	자유한국
강효상	그런데 왜 그것을 안 지키십니까?	자유한국
